Date,Open,High,Low,Close,Volume
2025-12-31,312.85,314.58,311.44,313.0,16379999
2025-12-30,312.5,316.95,312.46,313.85,17380000
2025-12-29,311.36,314.02,310.62,313.56,19620000
2025-12-26,314.48,315.08,312.27,313.51,10900000
2025-12-24,314.77,315.08,311.92,314.09,10100000
2025-12-23,309.63,314.94,309.32,314.35,25480000
2025-12-22,309.88,310.13,305.3,309.78,26430000
2025-12-19,301.73,307.25,300.97,307.16,59940000
2025-12-18,301.72,303.96,299.23,302.46,33520000
2025-12-17,308.01,308.09,296.12,296.72,43930000
2025-12-16,304.95,310.77,302.59,306.57,30590000
2025-12-15,311.32,311.42,304.88,308.22,29150000
2025-12-12,313.7,314.87,305.56,309.29,35940000
2025-12-11,320.08,321.12,308.6,312.43,42350000
2025-12-10,315.83,321.31,314.68,320.21,33430000
2025-12-09,312.37,317.99,311.89,317.08,30190000
2025-12-08,320.05,320.44,311.22,313.72,33910000
2025-12-05,319.49,323.16,319.17,321.27,28850000
2025-12-04,322.23,322.36,314.7,317.62,31240000
2025-12-03,315.89,321.58,314.1,319.63,41840000
2025-12-02,316.74,318.38,313.91,315.81,35850000
2025-12-01,317.7,319.85,313.89,314.89,41180000
2025-11-28,323.36,326.85,316.79,320.18,26020000
2025-11-26,320.68,324.5,316.79,319.95,51370000
2025-11-25,326.21,328.83,317.65,323.44,88630000
2025-11-24,311.13,319.48,309.6,318.58,85170000
2025-11-21,296.42,303.92,293.85,299.66,74140000
2025-11-20,304.54,306.42,288.67,289.45,62030000
2025-11-19,287.16,303.81,286.63,292.81,68200000
2025-11-18,287.92,288.8,278.2,284.28,49160000
2025-11-17,285.77,293.95,283.57,285.02,52670000
2025-11-14,271.4,278.56,270.7,276.41,31650000
2025-11-13,282.34,282.84,277.24,278.57,29490000
2025-11-12,291.67,292.01,283.69,286.71,24830000
2025-11-11,287.74,291.92,287.32,291.31,19840000
2025-11-10,284.42,290.8,282.86,290.1,29560000
2025-11-07,283.2,283.78,275.19,278.83,34480000
2025-11-06,285.33,288.35,281.14,284.75,37170000
2025-11-05,278.87,286.42,277.34,284.31,31010000
2025-11-04,276.75,281.27,276.26,277.54,30080000
2025-11-03,282.17,285.53,279.8,283.72,29790000
2025-10-31,283.21,286.0,277.03,281.19,39270000
2025-10-30,291.59,291.59,280.06,281.48,74880000
2025-10-29,267.75,275.34,267.67,274.57,43580000
2025-10-28,269.69,270.73,266.5,267.47,29740000
2025-10-27,264.82,270.14,264.28,269.27,35240000
2025-10-24,256.58,261.68,255.32,259.92,28660000
2025-10-23,252.98,255.04,251.85,253.08,19900000
2025-10-22,254.37,256.36,249.29,251.69,35030000
